"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_hasVehicRelais                              ","parmkeywords3       ","Const","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","procname            ","QUOTE_GetNbJrsCont","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","exported            ","","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","brief               ","Recherche nombre de jours contrat  selon évènement","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parm1               ","/input                  Numéro d'offre","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parm2               ","/input                  Code produit","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parm3               ","/input pCeve            Code évènement","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parm4               ","/input pObno            Code évènement","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parm5               ","/input pRclvob          Niveau de service","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parm6               ","/output                 Nombre de jours contrat","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","returnvalue         ","numeric (zoned)  (7,0)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","returnvalueshort    ","zoned","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdef1            ","numeric (packed)  (7,0)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdefshort1       ","packed","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmkeywords1       ","Const","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdef2            ","character (1)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdefshort2       ","character","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmkeywords2       ","Const","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdef3            ","character (3)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdefshort3       ","character","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmkeywords3       ","Const","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdef4            ","numeric (packed)  (7,0)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdefshort4       ","packed","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmkeywords4       ","Const","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdef5            ","character (1)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmdefshort5       ","character","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_GetNbJrsCont                                ","parmkeywords5       ","Const","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_getNewQuoteID                               ","procname            ","QUOTE_getNewQuoteID","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_getNewQuoteID                               ","exported            ","","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_getNewQuoteID                               ","returnvalue         ","numeric (packed)  (7,0)","2013-06-19-14.58.41.343000","DEVBOUSS"
"OLSRCD","QRPGLESRC","QUOTE001R","procedure","QUOTE_getNewQuoteID                               ","returnvalueshort    ","packed","2013-06-19-14.58.41.343000","DEVBOUSS"
